CustomerID,Annual Income (k$),Spending Score (1-100),Cluster
1,117,20,0
2,107,59,3
3,29,36,4
4,121,19,0
5,86,90,3
6,35,67,1
7,117,19,0
8,136,20,0
9,89,96,3
10,102,71,3
11,131,52,0
12,114,33,0
13,118,40,0
14,145,39,0
15,67,82,1
16,16,1,2
17,102,11,0
18,52,92,1
19,144,57,3
20,35,89,1
21,72,50,4
22,36,23,2
23,103,31,0
24,63,94,1
25,73,42,4
26,29,99,1
27,65,7,2
28,122,16,0
29,69,90,1
30,78,60,4
31,145,2,0
32,65,1,2
33,149,48,0
34,35,12,2
35,87,69,3
36,32,37,4
37,146,32,0
38,103,9,0
39,74,99,1
40,28,19,2
41,23,48,4
42,104,80,3
43,67,3,2
44,144,20,0
45,98,24,0
46,106,54,0
47,125,33,0
48,22,24,2
49,49,75,1
50,95,72,3
51,64,36,4
52,118,38,0
53,146,84,3
54,16,99,1
55,148,89,3
56,68,99,1
57,120,25,0
58,18,93,1
59,68,18,2
60,58,82,1
61,28,66,1
62,109,54,0
63,62,35,4
64,29,80,1
65,54,61,4
66,96,41,0
67,125,100,3
68,67,33,4
69,38,68,1
70,138,33,0
71,55,14,2
72,29,21,2
73,59,48,4
74,79,20,2
75,103,8,0
76,85,7,2
77,23,67,1
78,102,17,0
79,143,33,0
80,77,48,4
81,95,76,3
82,47,59,4
83,137,86,3
84,19,22,2
85,55,30,2
86,42,38,4
87,149,51,0
88,86,54,4
89,26,8,2
90,47,27,2
91,62,27,2
92,76,98,1
93,51,21,2
94,113,30,0
95,118,97,3
96,49,28,2
97,115,64,3
98,145,97,3
99,15,69,1
100,19,61,4
101,117,48,0
102,41,19,2
103,29,4,2
104,104,35,0
105,56,64,4
106,138,49,0
107,77,17,2
108,110,44,0
109,66,92,1
110,110,30,0
111,146,93,3
112,43,46,4
113,50,6,2
114,27,99,1
115,85,37,4
116,100,24,0
117,42,93,1
118,80,46,4
119,59,53,4
120,76,95,1
121,148,99,3
122,42,60,4
123,42,97,1
124,122,63,3
125,58,85,1
126,98,32,0
127,44,87,1
128,89,33,0
129,142,67,3
130,106,18,0
131,143,25,0
132,135,95,3
133,41,54,4
134,135,58,3
135,130,67,3
136,17,46,4
137,117,24,0
138,76,32,4
139,65,47,4
140,73,86,1
141,132,23,0
142,110,66,3
143,127,27,0
144,76,2,2
145,66,90,1
146,26,17,2
147,53,33,4
148,144,9,0
149,145,43,0
150,127,48,0
151,115,39,0
152,127,93,3
153,95,42,0
154,127,26,0
155,16,99,1
156,144,50,0
157,68,25,2
158,101,24,0
159,143,13,0
160,140,60,3
161,144,7,0
162,67,57,4
163,82,36,4
164,137,45,0
165,52,20,2
166,38,65,1
167,83,8,2
168,130,16,0
169,112,14,0
170,111,76,3
171,138,87,3
172,84,15,2
173,107,92,3
174,17,98,1
